name,k,q,k-plexes,time,size
karate_edges,2,10,0,0.09786128997802734,77
karate_edges,2,20,0,0.07921814918518066,77
karate_edges,2,30,0,0.08292341232299805,77
karate_edges,2,50,0,0.06731390953063965,77
karate_edges,2,100,0,0.08718252182006836,77
karate_edges,3,10,0,0.06407380104064941,77
karate_edges,3,20,0,0.10940861701965332,77
karate_edges,3,30,0,0.07192230224609375,77
karate_edges,3,50,0,0.06924152374267578,77
karate_edges,3,100,0,0.07036495208740234,77
karate_edges,4,10,0,0.059420108795166016,77
karate_edges,4,20,0,0.06768083572387695,77
karate_edges,4,30,0,0.0980827808380127,77
karate_edges,4,50,0,0.07912683486938477,77
karate_edges,4,100,0,0.06733107566833496,77
karate_edges,5,10,0,0.07215547561645508,77
karate_edges,5,20,0,0.09122514724731445,77
karate_edges,5,30,0,0.07902765274047852,77
karate_edges,5,50,0,0.06371927261352539,77
karate_edges,5,100,0,0.09087014198303223,77
jazz,2,10,8059,0.03710031509399414,198
jazz,2,20,2,0.013153314590454102,198
jazz,2,30,1,0.012559890747070312,198
jazz,2,50,0,0.01230621337890625,198
jazz,2,100,0,0.01228475570678711,198
jazz,3,10,257233,0.383758544921875,198
jazz,3,20,2,0.013355493545532227,198
jazz,3,30,1,0.011808633804321289,198
jazz,3,50,0,0.012228727340698242,198
jazz,3,100,0,0.011915922164916992,198
jazz,4,10,10079740,16.679826498031616,198
jazz,4,20,479,0.015500307083129883,198
jazz,4,30,1,0.0123748779296875,198
jazz,4,50,0,0.011945962905883789,198
jazz,4,100,0,0.012372016906738281,198
jazz,5,10,392090210,688.8705351352692,198
jazz,5,20,6193,0.027806997299194336,198
jazz,5,30,1,0.01126861572265625,198
jazz,5,50,0,0.01141357421875,198
jazz,5,100,0,0.01091623306274414,198
celegansneural,2,10,2,0.018100738525390625,297
celegansneural,2,20,0,0.015605449676513672,297
celegansneural,2,30,0,0.012586355209350586,297
celegansneural,2,50,0,0.015813112258911133,297
celegansneural,2,100,0,0.013230562210083008,297
celegansneural,3,10,127,0.016713857650756836,297
celegansneural,3,20,0,0.012947320938110352,297
celegansneural,3,30,0,0.014599323272705078,297
celegansneural,3,50,0,0.013747930526733398,297
celegansneural,3,100,0,0.013447761535644531,297
celegansneural,4,10,6172,0.04571366310119629,297
celegansneural,4,20,0,0.01823902130126953,297
celegansneural,4,30,0,0.014865636825561523,297
celegansneural,4,50,0,0.013490438461303711,297
celegansneural,4,100,0,0.013246536254882812,297
celegansneural,5,10,374646,13.322057008743286,297
celegansneural,5,20,0,0.017129182815551758,297
celegansneural,5,30,0,0.016335725784301758,297
celegansneural,5,50,0,0.014489889144897461,297
celegansneural,5,100,0,0.015175342559814453,297
facebook_combined,2,10,inf,-1.0,4039
facebook_combined,2,20,inf,-1.0,4039
facebook_combined,2,30,inf,-1.0,4039
facebook_combined,2,50,inf,-1.0,4039
facebook_combined,2,100,0,0.1263723373413086,4039
facebook_combined,3,10,inf,-1.0,4039
facebook_combined,3,20,inf,-1.0,4039
facebook_combined,3,30,inf,-1.0,4039
facebook_combined,3,50,inf,-1.0,4039
facebook_combined,3,100,0,1.6520307064056396,4039
facebook_combined,4,10,inf,-1.0,4039
facebook_combined,4,20,inf,-1.0,4039
facebook_combined,4,30,inf,-1.0,4039
facebook_combined,4,50,inf,-1.0,4039
facebook_combined,4,100,0,97.06694483757019,4039
facebook_combined,5,10,inf,-1.0,4039
facebook_combined,5,20,inf,-1.0,4039
facebook_combined,5,30,inf,-1.0,4039
facebook_combined,5,50,inf,-1.0,4039
facebook_combined,5,100,0,4624.612493276596,4039
ca-GrQc,2,10,377,0.024059534072875977,5241
ca-GrQc,2,20,118,0.015917301177978516,5241
ca-GrQc,2,30,9,0.02116560935974121,5241
ca-GrQc,2,50,0,0.02032470703125,5241
ca-GrQc,2,100,0,0.019513607025146484,5241
ca-GrQc,3,10,13352,0.03431510925292969,5241
ca-GrQc,3,20,1568,0.022705554962158203,5241
ca-GrQc,3,30,7,0.014161109924316406,5241
ca-GrQc,3,50,0,0.019494295120239258,5241
ca-GrQc,3,100,0,0.012967109680175781,5241
ca-GrQc,4,10,262694,0.26247549057006836,5241
ca-GrQc,4,20,9167,0.028405427932739258,5241
ca-GrQc,4,30,6724,0.01998281478881836,5241
ca-GrQc,4,50,0,0.01940751075744629,5241
ca-GrQc,4,100,0,0.011317729949951172,5241
ca-GrQc,5,10,21672598,19.858827114105225,5241
ca-GrQc,5,20,25337,0.05921578407287598,5241
ca-GrQc,5,30,14830,0.04619169235229492,5241
ca-GrQc,5,50,0,0.012178897857666016,5241
ca-GrQc,5,100,0,0.017728328704833984,5241
wiki-Vote,2,10,9162664,51.75212621688843,7115
wiki-Vote,2,20,52,0.7780466079711914,7115
wiki-Vote,2,30,0,0.14658522605895996,7115
wiki-Vote,2,50,0,0.06926584243774414,7115
wiki-Vote,2,100,0,0.07005882263183594,7115
wiki-Vote,3,10,1337635587,14341.792939662933,7115
wiki-Vote,3,20,156727,7.076250314712524,7115
wiki-Vote,3,30,0,0.2879636287689209,7115
wiki-Vote,3,50,0,0.07173824310302734,7115
wiki-Vote,3,100,0,0.0220339298248291,7115
wiki-Vote,4,10,inf,-1.0,7115
wiki-Vote,4,20,46729532,428.19185280799866,7115
wiki-Vote,4,30,0,0.22404074668884277,7115
wiki-Vote,4,50,0,0.11099958419799805,7115
wiki-Vote,4,100,0,0.05692601203918457,7115
wiki-Vote,5,10,inf,-1.0,7115
wiki-Vote,5,20,inf,-1.0,7115
wiki-Vote,5,30,0,0.330425500869751,7115
wiki-Vote,5,50,0,0.09708166122436523,7115
wiki-Vote,5,100,0,0.06653356552124023,7115
lastfm_asia_edges,2,10,9426,0.0476841926574707,7624
lastfm_asia_edges,2,20,0,0.026457548141479492,7624
lastfm_asia_edges,2,30,0,0.02101612091064453,7624
lastfm_asia_edges,2,50,0,0.01938915252685547,7624
lastfm_asia_edges,2,100,0,0.02416539192199707,7624
lastfm_asia_edges,3,10,212906,0.34232640266418457,7624
lastfm_asia_edges,3,20,0,0.023288726806640625,7624
lastfm_asia_edges,3,30,0,0.01885700225830078,7624
lastfm_asia_edges,3,50,0,0.03590965270996094,7624
lastfm_asia_edges,3,100,0,0.02297234535217285,7624
lastfm_asia_edges,4,10,5118262,8.111327171325684,7624
lastfm_asia_edges,4,20,73,0.01805901527404785,7624
lastfm_asia_edges,4,30,0,0.0186612606048584,7624
lastfm_asia_edges,4,50,0,0.018375873565673828,7624
lastfm_asia_edges,4,100,0,0.017947673797607422,7624
lastfm_asia_edges,5,10,125536302,366.24876165390015,7624
lastfm_asia_edges,5,20,4717,0.04763293266296387,7624
lastfm_asia_edges,5,30,0,0.02749180793762207,7624
lastfm_asia_edges,5,50,0,0.02152109146118164,7624
lastfm_asia_edges,5,100,0,0.020066261291503906,7624
as-caida20071105,2,10,23314,0.2601912021636963,26475
as-caida20071105,2,20,0,0.0777583122253418,26475
as-caida20071105,2,30,0,0.08718514442443848,26475
as-caida20071105,2,50,0,0.09398055076599121,26475
as-caida20071105,2,100,0,0.10356950759887695,26475
as-caida20071105,3,10,1531876,3.598370313644409,26475
as-caida20071105,3,20,0,0.024194717407226562,26475
as-caida20071105,3,30,0,0.09122204780578613,26475
as-caida20071105,3,50,0,0.08953142166137695,26475
as-caida20071105,3,100,0,0.12299942970275879,26475
as-caida20071105,4,10,81765023,173.11780524253845,26475
as-caida20071105,4,20,331,0.09007692337036133,26475
as-caida20071105,4,30,0,0.06564903259277344,26475
as-caida20071105,4,50,0,0.0926809310913086,26475
as-caida20071105,4,100,0,0.0845177173614502,26475
as-caida20071105,5,10,inf,-1.0,26475
as-caida20071105,5,20,34466,0.2932169437408447,26475
as-caida20071105,5,30,0,0.09570169448852539,26475
as-caida20071105,5,50,0,0.09059333801269531,26475
as-caida20071105,5,100,0,0.08606767654418945,26475
hollywood-2009,2,10,inf,-1.0,51140
hollywood-2009,2,20,inf,-1.0,51140
hollywood-2009,2,30,inf,-1.0,51140
hollywood-2009,2,50,88463338,1451.3306028842926,51140
hollywood-2009,2,100,15432,0.7589716911315918,51140
hollywood-2009,3,10,inf,-1.0,51140
hollywood-2009,3,20,inf,-1.0,51140
hollywood-2009,3,30,inf,-1.0,51140
hollywood-2009,3,50,inf,-1.0,51140
hollywood-2009,3,100,9932568,122.8261981010437,51140
hollywood-2009,4,10,inf,-1.0,51140
hollywood-2009,4,20,inf,-1.0,51140
hollywood-2009,4,30,inf,-1.0,51140
hollywood-2009,4,50,inf,-1.0,51140
hollywood-2009,4,100,inf,-1.0,51140
hollywood-2009,5,10,inf,-1.0,51140
hollywood-2009,5,20,inf,-1.0,51140
hollywood-2009,5,30,inf,-1.0,51140
hollywood-2009,5,50,inf,-1.0,51140
hollywood-2009,5,100,inf,-1.0,51140
p2p-Gnutella31,2,10,0,0.029491424560546875,62586
p2p-Gnutella31,2,20,0,0.024909257888793945,62586
p2p-Gnutella31,2,30,0,0.02522444725036621,62586
p2p-Gnutella31,2,50,0,0.02315378189086914,62586
p2p-Gnutella31,2,100,0,0.027243614196777344,62586
p2p-Gnutella31,3,10,0,0.02835249900817871,62586
p2p-Gnutella31,3,20,0,0.024251937866210938,62586
p2p-Gnutella31,3,30,0,0.024502992630004883,62586
p2p-Gnutella31,3,50,0,0.025135040283203125,62586
p2p-Gnutella31,3,100,0,0.024184703826904297,62586
p2p-Gnutella31,4,10,0,0.02732682228088379,62586
p2p-Gnutella31,4,20,0,0.02507925033569336,62586
p2p-Gnutella31,4,30,0,0.023099660873413086,62586
p2p-Gnutella31,4,50,0,0.024156808853149414,62586
p2p-Gnutella31,4,100,0,0.022603988647460938,62586
p2p-Gnutella31,5,10,48,0.10482573509216309,62586
p2p-Gnutella31,5,20,0,0.023458003997802734,62586
p2p-Gnutella31,5,30,0,0.019067764282226562,62586
p2p-Gnutella31,5,50,0,0.02291560173034668,62586
p2p-Gnutella31,5,100,0,0.02234172821044922,62586
soc-Epinions1,2,10,73945657,306.8581781387329,75879
soc-Epinions1,2,20,3322167,26.48311161994934,75879
soc-Epinions1,2,30,0,0.5764195919036865,75879
soc-Epinions1,2,50,0,0.18407273292541504,75879
soc-Epinions1,2,100,0,0.05214571952819824,75879
soc-Epinions1,3,10,inf,-1.0,75879
soc-Epinions1,3,20,548634119,6591.013053178787,75879
soc-Epinions1,3,30,16066,4.114811182022095,75879
soc-Epinions1,3,50,0,0.20268750190734863,75879
soc-Epinions1,3,100,0,0.05201363563537598,75879
