name,k,q,k-plexes,time,size
karate_edges,2,10,0,0.05638432502746582,77
karate_edges,2,20,0,0.06117963790893555,77
karate_edges,2,30,0,0.02815699577331543,77
karate_edges,2,50,0,0.05043220520019531,77
karate_edges,2,100,0,0.06619024276733398,77
karate_edges,3,10,0,0.06249856948852539,77
karate_edges,3,20,0,0.04135298728942871,77
karate_edges,3,30,0,0.06854510307312012,77
karate_edges,3,50,0,0.05391263961791992,77
karate_edges,3,100,0,0.05264735221862793,77
karate_edges,4,10,0,0.06875109672546387,77
karate_edges,4,20,0,0.060009002685546875,77
karate_edges,4,30,0,0.048795223236083984,77
karate_edges,4,50,0,0.055423736572265625,77
karate_edges,4,100,0,0.03524518013000488,77
karate_edges,5,10,0,0.05409598350524902,77
karate_edges,5,20,0,0.057575225830078125,77
karate_edges,5,30,0,0.05767250061035156,77
karate_edges,5,50,0,0.0588841438293457,77
karate_edges,5,100,0,0.05756044387817383,77
jazz,2,10,8059,0.04169893264770508,198
jazz,2,20,2,0.019083738327026367,198
jazz,2,30,1,0.02333545684814453,198
jazz,2,50,0,0.02313518524169922,198
jazz,2,100,0,0.023538827896118164,198
jazz,3,10,257233,0.5795187950134277,198
jazz,3,20,2,0.024392127990722656,198
jazz,3,30,1,0.02344989776611328,198
jazz,3,50,0,0.023181915283203125,198
jazz,3,100,0,0.023418664932250977,198
jazz,4,10,10079740,14.59763240814209,198
jazz,4,20,479,0.025616168975830078,198
jazz,4,30,1,0.02319169044494629,198
jazz,4,50,0,0.023103952407836914,198
jazz,4,100,0,0.02346324920654297,198
jazz,5,10,392090210,598.1194634437561,198
jazz,5,20,6193,0.04388737678527832,198
jazz,5,30,1,0.023988962173461914,198
jazz,5,50,0,0.023746490478515625,198
jazz,5,100,0,0.024802207946777344,198
celegansneural,2,10,2,0.034111738204956055,297
celegansneural,2,20,0,0.03400444984436035,297
celegansneural,2,30,0,0.0339360237121582,297
celegansneural,2,50,0,0.03447222709655762,297
celegansneural,2,100,0,0.03572201728820801,297
celegansneural,3,10,127,0.038030147552490234,297
celegansneural,3,20,0,0.03745412826538086,297
celegansneural,3,30,0,0.03855133056640625,297
celegansneural,3,50,0,0.035601139068603516,297
celegansneural,3,100,0,0.036598920822143555,297
celegansneural,4,10,6172,0.0674903392791748,297
celegansneural,4,20,0,0.03622245788574219,297
celegansneural,4,30,0,0.036536455154418945,297
celegansneural,4,50,0,0.03953266143798828,297
celegansneural,4,100,0,0.03847646713256836,297
celegansneural,5,10,374646,6.401776313781738,297
celegansneural,5,20,0,0.033373355865478516,297
celegansneural,5,30,0,0.03952312469482422,297
celegansneural,5,50,0,0.03506350517272949,297
celegansneural,5,100,0,0.037378549575805664,297
facebook_combined,2,10,inf,-1.0,4039
facebook_combined,2,20,inf,-1.0,4039
facebook_combined,2,30,inf,-1.0,4039
facebook_combined,2,50,inf,-1.0,4039
facebook_combined,2,100,0,0.09133553504943848,4039
facebook_combined,3,10,inf,-1.0,4039
facebook_combined,3,20,inf,-1.0,4039
facebook_combined,3,30,inf,-1.0,4039
facebook_combined,3,50,inf,-1.0,4039
facebook_combined,3,100,0,1.1907949447631836,4039
facebook_combined,4,10,inf,-1.0,4039
facebook_combined,4,20,inf,-1.0,4039
facebook_combined,4,30,inf,-1.0,4039
facebook_combined,4,50,inf,-1.0,4039
facebook_combined,4,100,0,4.764497756958008,4039
facebook_combined,5,10,inf,-1.0,4039
facebook_combined,5,20,inf,-1.0,4039
facebook_combined,5,30,inf,-1.0,4039
facebook_combined,5,50,inf,-1.0,4039
facebook_combined,5,100,0,73.40380883216858,4039
ca-GrQc,2,10,377,0.010988712310791016,5241
ca-GrQc,2,20,118,0.011227846145629883,5241
ca-GrQc,2,30,9,0.010669469833374023,5241
ca-GrQc,2,50,0,0.009639501571655273,5241
ca-GrQc,2,100,0,0.01007223129272461,5241
ca-GrQc,3,10,13352,0.02982330322265625,5241
ca-GrQc,3,20,1568,0.01389169692993164,5241
ca-GrQc,3,30,7,0.011531352996826172,5241
ca-GrQc,3,50,0,0.013044357299804688,5241
ca-GrQc,3,100,0,0.011296749114990234,5241
ca-GrQc,4,10,262694,0.17430686950683594,5241
ca-GrQc,4,20,9167,0.031237125396728516,5241
ca-GrQc,4,30,6724,0.015874147415161133,5241
ca-GrQc,4,50,0,0.014626264572143555,5241
ca-GrQc,4,100,0,0.014759302139282227,5241
ca-GrQc,5,10,21672598,12.577153444290161,5241
ca-GrQc,5,20,25337,0.06438398361206055,5241
ca-GrQc,5,30,14830,0.03399085998535156,5241
ca-GrQc,5,50,0,0.01432657241821289,5241
ca-GrQc,5,100,0,0.013174772262573242,5241
wiki-Vote,2,10,9162664,32.540475845336914,7115
wiki-Vote,2,20,52,0.6869139671325684,7115
wiki-Vote,2,30,0,0.0998692512512207,7115
wiki-Vote,2,50,0,0.049788713455200195,7115
wiki-Vote,2,100,0,0.02122354507446289,7115
wiki-Vote,3,10,1337635587,4214.856,7115
wiki-Vote,3,20,156727,4.568222522735596,7115
wiki-Vote,3,30,0,0.10716080665588379,7115
wiki-Vote,3,50,0,0.05525994300842285,7115
wiki-Vote,3,100,0,0.018984556198120117,7115
wiki-Vote,4,10,inf,-1.0,7115
wiki-Vote,4,20,46729532,355.26730585098267,7115
wiki-Vote,4,30,0,0.12726545333862305,7115
wiki-Vote,4,50,0,0.062142372131347656,7115
wiki-Vote,4,100,0,0.023404598236083984,7115
wiki-Vote,5,10,inf,-1.0,7115
wiki-Vote,5,20,6702194177,55842.287,7115
wiki-Vote,5,30,0,0.2036128044128418,7115
wiki-Vote,5,50,0,0.06413674354553223,7115
wiki-Vote,5,100,0,0.02591395378112793,7115
lastfm_asia_edges,2,10,9426,0.03103184700012207,7624
lastfm_asia_edges,2,20,0,0.017325401306152344,7624
lastfm_asia_edges,2,30,0,0.019739627838134766,7624
lastfm_asia_edges,2,50,0,0.016619443893432617,7624
lastfm_asia_edges,2,100,0,0.01589798927307129,7624
lastfm_asia_edges,3,10,212906,0.2926516532897949,7624
lastfm_asia_edges,3,20,0,0.0270388126373291,7624
lastfm_asia_edges,3,30,0,0.020040035247802734,7624
lastfm_asia_edges,3,50,0,0.017640113830566406,7624
lastfm_asia_edges,3,100,0,0.017808914184570312,7624
lastfm_asia_edges,4,10,5118262,7.48960018157959,7624
lastfm_asia_edges,4,20,73,0.0171661376953125,7624
lastfm_asia_edges,4,30,0,0.018820524215698242,7624
lastfm_asia_edges,4,50,0,0.023176908493041992,7624
lastfm_asia_edges,4,100,0,0.02548956871032715,7624
lastfm_asia_edges,5,10,125536302,223.8450698852539,7624
lastfm_asia_edges,5,20,4717,0.05443096160888672,7624
lastfm_asia_edges,5,30,0,0.018101930618286133,7624
lastfm_asia_edges,5,50,0,0.019219398498535156,7624
lastfm_asia_edges,5,100,0,0.025306224822998047,7624
as-caida20071105,2,10,23314,0.10778093338012695,26475
as-caida20071105,2,20,0,0.020336389541625977,26475
as-caida20071105,2,30,0,0.01943039894104004,26475
as-caida20071105,2,50,0,0.018666505813598633,26475
as-caida20071105,2,100,0,0.019144296646118164,26475
as-caida20071105,3,10,1531876,3.1153464317321777,26475
as-caida20071105,3,20,0,0.02197408676147461,26475
as-caida20071105,3,30,0,0.01796269416809082,26475
as-caida20071105,3,50,0,0.018297195434570312,26475
as-caida20071105,3,100,0,0.018208026885986328,26475
as-caida20071105,4,10,81765023,169.7138888835907,26475
